CADENA;COD;DESCRIPCION;MARCA;COD LOCAL;DESCRIPCION LOCAL;FORMATO;VTA;STOCK;DESCRIPCION LOCAL2
CENCOSUD.xlsx;4920;PAPRIKA 2. OZ. BADIA;BADIA;S047;Supermercado Metro Chaclacayo;METRO;10;9;METRO CHACLACAYO
CENCOSUD.xlsx;35239;CURRY EN PLOVO X 2 ONZ  BADIA;BADIA;H001;Hipermercado Metro Chorrillos;METRO;5;18;METRO CHORRILLOS
CENCOSUD.xlsx;35172;CLAVO ENTERO X 0.25 ONZ BADIA;BADIA;T108;Wong La Molina;WONG;34;4;WONG LA MOLINA
CENCOSUD.xlsx;1013267;PIMIENTA NEGRA MOLIDA 4OZ BADIA;BADIA;H013;Hipermercado Metro Independenc;METRO;1;16;METRO INDEPENDENC
CENCOSUD.xlsx;35244;OREGANO ENTERO X 0.50  ONZ FCO. BADIA;BADIA;T101;Wong Dos de Mayo;WONG;61;79;WONG DOS DE MAYO
CENCOSUD.xlsx;35175;NUEZ MOSCADA ENTERA X 5 OZ. BADIA.;BADIA;H006;Hiper. Metro San Juan de Lurig;METRO;8;48;METRO SAN JUAN DE LURIGANCHO
CENCOSUD.xlsx;1015452;FIDEO TRIGO ELICHE TRICOLOR 500G COLAVIT;COLAVITA;T116;Wong Asia;WONG;5;58;WONG ASIA
CENCOSUD.xlsx;32472;SALSA PICANTE LOUISIANA X 88 ML BADIA;BADIA;T130;Wong Sol de La Molina;WONG;5;15;WONG SOL DE LA MOLINA
CENCOSUD.xlsx;422772002;MERMELADA X 340GR MA ORANGE & CHAMPAGNE;MACKAYS;T116;Wong Asia;WONG;3;9;WONG ASIA
CENCOSUD.xlsx;48495009;CHOC.TAB.TRAUBEN NUSS  X100 RITTER SPORT;RITTER SPORT;T121;Wong Tom s Marsano;WONG;7;7;Wong Tomas Marsano
CENCOSUD.xlsx;946345;SALSA PIC. GHOST PEPPER X 155 ML BADIA;BADIA;T106;Wong Chacarilla;WONG;2;8;WONG CHACARILLA
CENCOSUD.xlsx;40874;ADOBO C/PIMIENTA X 7 OZ  BADIA;BADIA;H014;Hipermercado Metro Plaza Norte;METRO;6;18;METRO PLAZA NORTE
CENCOSUD.xlsx;946345;SALSA PIC. GHOST PEPPER X 155 ML BADIA;BADIA;T114;Wong La Planicie;WONG;1;7;WONG LA PLANICIE
CENCOSUD.xlsx;422772007;MERMELADA X 340GR MACKAYS ALBARICOQUE;MACKAYS;T132;Wong KM40;WONG;1;7;WONG KM40
CENCOSUD.xlsx;324768;PIMIENTA NEGRA ENTERA C/MOL BADIA 2.25G;BADIA;T108;Wong La Molina;WONG;19;40;WONG LA MOLINA
CENCOSUD.xlsx;1013265;SAZONADOR EVERYTHING BAGEL 2.8OZ BADIA;BADIA;S062;Supermercado Metro Cerro Color;METRO;19;10;METRO CERRO COLOR
CENCOSUD.xlsx;946343;SAZ. HARLEM GARLIC PEPPER X170G BADIA;BADIA;T107;Wong San Borja;WONG;4;4;WONG SAN BORJA
CENCOSUD.xlsx;35229;PIMENTON X 1 ONZ   BADIA;BADIA;T118;Wong Larco;WONG;22;37;WONG LARCO
CENCOSUD.xlsx;272051;PIMIENTA ROJA PICADA X 14.2GR BADIA;BADIA;T101;Wong Dos de Mayo;WONG;87;81;WONG DOS DE MAYO
CENCOSUD.xlsx;35176;OREGANO ENTERO X O.5 ONZ SOB. BADIA;BADIA;T108;Wong La Molina;WONG;14;17;WONG LA MOLINA
CENCOSUD.xlsx;1001978;MARSHMALLOW ROCKY MOUNTAIN MINI WHI 150G;ROCKY MOUNTAIN;S066;Supermercado Metro Huanuco;METRO;10;-5;METRO HUANUCO
